job_title,country,experience_level,education_level,year,salary,ai_risk_score,primary_skill,skill_demand_score,job_openings,job_survival_class,salary_bucket,ai_risk_category,salary_log,ai_risk_category_clean,job_demand_category,experience_level_num,salary_per_opening,risk_adjusted_salary,job_sector
Data Scientist,USA,Senior,Master,2022,61931.03,0.32,Python,88,39158,2,High,Medium Risk,11.033776625474731,Medium Risk,High Demand,3,1.5815273628029316,42113.100399999996,Data & AI
Software Engineer,India,Senior,Bachelor,2032,21330.84,0.52,Java,80,7265,1,High,Medium Risk,9.967909191843285,Medium Risk,Low Demand,3,2.93570602807597,10238.8032,Software Engineering
Data Scientist,Canada,Mid,Bachelor,2015,24211.17,0.25,Python,70,22962,1,High,Low Risk,10.094569375901932,Low Risk,Medium Demand,2,1.0543557026520924,18158.3775,Data & AI
Data Scientist,India,Entry,PhD,2034,11794.86,0.44,Python,95,17023,1,Medium,Medium Risk,9.375419122335131,Medium Risk,Medium Demand,1,0.6928371710526317,6605.121600000001,Data & AI
Data Analyst,Canada,Entry,PhD,2035,17999.26,0.75,SQL,61,3433,0,Medium,High Risk,9.798085924922106,High Risk,Low Demand,1,5.241485148514851,4499.815,Data & AI
DevOps Engineer,UK,Entry,Master,2033,29676.4,0.38,Docker,80,18568,1,High,Medium Risk,10.29810739612409,Medium Risk,Medium Demand,1,1.5981689913296355,18399.368000000002,Cloud & DevOps
Cybersecurity Analyst,USA,Entry,PhD,2028,27813.44,0.28,Security,81,7396,1,High,Low Risk,10.233274636090274,Low Risk,Low Demand,1,3.760097336758145,20025.676799999997,Cybersecurity
Cloud Engineer,Germany,Entry,Bachelor,2025,24684.38,0.35,AWS,86,26658,1,High,Medium Risk,10.11392593391005,Medium Risk,Medium Demand,1,0.9259304550058142,16044.847000000002,Cloud & DevOps
Data Scientist,USA,Mid,Bachelor,2026,45617.71,0.36,Python,87,3747,2,High,Medium Risk,10.72805129729656,Medium Risk,Low Demand,2,12.171213980789755,29195.3344,Data & AI
Cloud Engineer,Canada,Mid,Bachelor,2029,39526.54,0.39,AWS,62,4556,1,High,Medium Risk,10.584727624000495,Medium Risk,Low Demand,2,8.673807329383367,24111.1894,Cloud & DevOps
DevOps Engineer,USA,Mid,Bachelor,2032,56686.09,0.37,Docker,80,15502,2,High,Medium Risk,10.94528413333977,Medium Risk,Medium Demand,2,3.6564593949558146,35712.2367,Cloud & DevOps
Cybersecurity Analyst,Australia,Senior,Master,2033,47853.7,0.33,Security,84,44323,2,High,Medium Risk,10.775903718865555,Medium Risk,High Demand,3,1.0796340582979875,32061.978999999996,Cybersecurity
Software Engineer,Australia,Entry,Bachelor,2022,20842.62,0.42,Java,68,24897,1,High,Medium Risk,9.944755207734909,Medium Risk,Medium Demand,1,0.8371202506225399,12088.7196,Software Engineering
Cybersecurity Analyst,USA,Entry,Bachelor,2027,26043.05,0.27,Security,79,24483,1,High,Low Risk,10.167506216959776,Low Risk,Medium Demand,1,1.0636762783858846,19011.426499999998,Cybersecurity
Cybersecurity Analyst,UK,Senior,Master,2020,37951.56,0.2,Security,67,45974,2,High,Low Risk,10.544065888698286,Low Risk,High Demand,3,0.8254825448613377,30361.248,Cybersecurity
Cloud Engineer,Germany,Entry,PhD,2023,22310.64,0.33,AWS,76,27531,1,High,Medium Risk,10.012818973702707,Medium Risk,Medium Demand,1,0.8103530437309313,14948.128799999999,Cloud & DevOps
Data Scientist,Canada,Senior,Bachelor,2032,55147.38,0.42,Python,63,20457,1,High,Medium Risk,10.917764516753527,Medium Risk,Medium Demand,3,2.6956388698797533,31985.480400000004,Data & AI
